Timestamp,East_facade_high_temp,East_facade_low_temp,North_facade_high_temp,North_facade_low_temp,South_facade_high_temp,South_facade_low_temp,South_facade_mid_temp,West_facade_high_left_temp,West_facade_high_right_temp
2023-06-01 00:00:00-04:00,,63.75329895019532,63.537477874755865,63.3556500752767,63.572459920247404,64.27601928710938,63.932820892333986,63.25896021525066,63.09725926717123
2023-06-01 01:00:00-04:00,,62.55803934733074,62.030369822184255,61.98317972819011,62.25014902750652,62.955688222249364,62.712148793538425,61.865369669596355,61.607311248779304
2023-06-01 02:00:00-04:00,,60.90111160278321,60.38169161478679,60.362220382690445,60.4430716196696,61.18886795043946,60.98889032999674,60.16323064168296,59.87646153767905
2023-06-01 03:00:00-04:00,,60.338459014892585,59.90088246663413,59.915402348836274,60.06159311930339,60.73808898925782,60.336809921264674,59.61378237406414,59.5632926940918
2023-06-01 04:00:00-04:00,,59.832903289794935,59.239563624064125,59.210854975382496,59.474192810058604,60.21471163431804,59.7972635904948,58.944876098632804,58.95543505350747
2023-06-01 05:00:00-04:00,,59.2672814687093,58.96302502950031,58.65975659688312,58.922767384847,59.66064275105795,59.22801322937011,58.42116597493488,58.37199694315591
2023-06-01 06:00:00-04:00,,60.585300699869805,62.57552820841472,60.22296142578126,60.299850718180345,60.52788022359213,60.147059631347666,59.981071217854826,59.765253448486334
2023-06-01 07:00:00-04:00,,70.99481760660807,66.81041920979818,62.9520596822103,63.331888580322264,63.17810719807944,63.185368347167966,63.05436045328778,62.758678690592454
2023-06-01 08:00:00-04:00,,84.6591298421224,78.43895874023438,74.63768946329752,68.65412979125976,67.92185796101889,68.18255971272787,67.72385915120444,69.70881017049153
2023-06-01 09:00:00-04:00,,89.92328923543296,79.95168050130208,80.5436996459961,74.50238876342773,74.71556955973308,73.81929016113281,72.9903294881185,77.6083501180013
2023-06-01 10:00:00-04:00,,93.06819076538088,81.37133916219076,81.5627405802409,82.02605895996093,79.27220993041993,83.57046051025392,77.92910868326823,82.59993031819663
2023-06-01 11:00:00-04:00,,95.5527587890625,85.92863947550457,84.57795104980468,89.47316792805991,83.08865763346354,93.7067387898763,82.90088984171551,87.26315892537437
2023-06-01 12:00:00-04:00,,94.09547856648763,89.2461306254069,87.13115997314455,94.1571891784668,89.91009038289388,99.78534011840821,87.88719075520834,90.01568857828777
2023-06-01 13:00:00-04:00,,91.8389383951823,91.69175771077474,89.63124059041343,98.40066095987956,100.04999974568685,104.61192042032873,95.97746861775717,92.99558944702149
2023-06-01 14:00:00-04:00,,91.75347086588542,92.95895919799804,90.57536951700847,101.35118916829421,105.08843866984058,106.64867960611977,106.01970011393227,95.4299987792969
2023-06-01 15:00:00-04:00,,91.1979128519694,93.08337020874023,91.33387463887533,104.63600972493488,104.74887008666994,107.79955495198568,112.45997914096769,97.96060396830242
2023-06-01 16:00:00-04:00,,90.81857986450196,92.81244074503583,91.40960922241212,103.96940867106126,102.25703989664713,106.64636840820316,113.97666015625009,97.63241907755535
2023-06-01 17:00:00-04:00,,90.23414916992188,91.47066014607749,91.14990005493163,102.47087987264007,98.30363947550457,100.61232070922857,112.9945805867513,96.98264897664389
2023-06-01 18:00:00-04:00,,88.49570922851562,89.49726003011068,88.04724044799805,91.62279052734375,92.36826095581056,91.5554702758789,108.01421941121426,92.975789642334
2023-06-01 19:00:00-04:00,,84.8954086303711,85.10594914754232,84.39149907430013,85.67849985758465,86.16426264444986,86.41737085978191,88.86959737141929,86.1583206176758
2023-06-01 20:00:00-04:00,,80.93243891398113,80.66546936035157,80.27673060099283,80.98755060831705,81.43239008585614,81.71684799194337,82.13264795939128,80.35295867919922
2023-06-01 21:00:00-04:00,,77.04305699666342,76.61834767659506,76.3949422200521,76.85891977945964,77.32586949666342,77.47370961507161,77.35853881835938,76.16789983113608
2023-06-01 22:00:00-04:00,,74.1433494567871,73.79189809163412,73.63679936726888,74.06943028767904,74.48060913085938,74.5343994140625,74.17503026326499,73.43879903157554
2023-06-01 23:00:00-04:00,,72.22142893473308,72.09437891642254,71.82212905883789,72.24353892008463,72.66066055297853,72.5501091003418,72.23099873860677,71.70134862263997
2023-06-02 00:00:00-04:00,,70.66217956542968,70.54007949829102,70.24176127115886,70.57407023111979,71.04959818522136,70.95092951456705,70.49222971598309,70.02758814493816
2023-06-02 01:00:00-04:00,,69.47846883138021,69.38507817586263,69.03296915690105,69.39333012898764,69.92528940836588,69.70088882446291,69.17717971801758,68.80856908162436
2023-06-02 02:00:00-04:00,,68.83860219319662,68.84454015096028,68.56635004679362,68.94056854248046,69.29070053100585,69.06926905314127,68.62047017415365,68.44491119384766
2023-06-02 03:00:00-04:00,,68.1195292154948,68.12018966674806,67.65422922770183,68.08355712890626,68.50859985351562,68.3205017089844,67.80932922363283,67.58393783569338
2023-06-02 04:00:00-04:00,,67.51826858520509,67.54268925984701,67.03151753743491,67.7050496419271,68.06441675821941,67.71857833862308,67.26911951700848,67.1777084350586
2023-06-02 05:00:00-04:00,,66.9321886698405,67.07375869750976,66.44246927897136,67.12457809448242,67.38956731160482,67.10147883097332,66.67841720581055,66.45137939453124
2023-06-02 06:00:00-04:00,,67.6684196472168,68.48846664428713,67.35920893351238,67.70273844401042,67.60439860026042,67.53179728190104,67.33511810302736,66.98003946940105
2023-06-02 07:00:00-04:00,,77.06780904134116,74.41757761637369,70.507408396403,71.23802973429362,70.26023915608725,70.71596959431966,70.8136474609375,70.45163853963216
