Timestamp,Plug_Basement,Cooling,Exhaust fan,EHW,Sumppump,Emergency light load,EL,Fire alarm,Heat pump electric,Heating,IT,Lighting,Plug1,Plug2,Plug3,PV_meter1_load (kW),PV_meter2_load (kW),Battery cabinet,Solar_hot_water_load (kW),Solar rapid shutdown,Control,NET,IN,OUT
2023-06-01 18:00:00-04:00,0.075032377,0.001888167,0.003851583,0,0.001093333,0.046020083,0,0.064539867,0,0,0.640413987,0.0019577,0.011615849,0.011852315,0.001052867,1.345412132,1.576869541,0.003094333,0,0.004049333,0.132139904,-1.918160182,0,-1.918160182
2023-06-01 19:00:00-04:00,0.091922091,0.001894667,0.003848,0,0.001069083,0.045971167,0,0.064149167,0,0,0.640147654,0.001956917,0.011529499,0.011909182,0.001054933,0.120434197,0.25180504,0.00310075,0,0.003916,0.13448267,0.654146314,0.662261375,-0.008115061
2023-06-01 20:00:00-04:00,0.101190174,0.001891667,0.003829267,0,0.001083417,0.0476145,0,0.063964817,0,0,0.640975927,0.00643495,0.011596083,0.011922965,0.001084833,0,-0.01399849,0.003111833,0,0.004289083,0.131376768,1.086001845,1.086001845,0
2023-06-01 21:00:00-04:00,0.053548744,0.001879583,0.00386275,0,0.001096,0.046460333,0,0.064887599,0,0,0.647278952,0.00197595,0.011548666,0.012070016,0.001061017,0,0,0.003103167,0,0.003955083,0.12957942,1.036000071,1.036000071,0
2023-06-01 22:00:00-04:00,0.10883879,0.001905083,0.003842083,0,0.0010855,0.046475167,0,0.06489995,0,0,0.641385456,0.001971717,0.011627383,0.012019465,0.001072583,0,0,0.003100167,0,0.003938167,0.13308012,1.085991349,1.085991349,0
2023-06-01 23:00:00-04:00,0.080055826,0.001892333,0.003900583,0.243420148,0.0011115,0.046936583,0,0.0655636,0,0,0.639739736,0.00199455,0.011666783,0.012038215,0.001083717,0,0,0.00310425,0,0.004101833,0.129143135,1.289292775,1.289292775,0
2023-06-02 00:00:00-04:00,0.079068075,0.001925833,0.00392375,0,0.00112325,0.047310417,0,0.065661533,0,0,0.641011446,0.002017867,0.011634033,0.012039665,0.001092567,0,0,0.003112746,0,0.004001083,0.129347652,1.054575006,1.054575006,0
2023-06-02 01:00:00-04:00,0.106342056,0.001910167,0.003902083,0,0.001101167,0.047072917,0,0.065526717,0,0,0.651767987,0.002353967,0.011653316,0.011911332,0.001093133,0,0,0.003095667,0,0.003970167,0.129697952,1.090896064,1.090896064,0
2023-06-02 02:00:00-04:00,0.058962561,0.001903917,0.00395425,0,0.00111075,0.047979584,0,0.065851,0,0,0.642514677,0.002023517,0.011711716,0.011820232,0.001083983,0,0,0.00309775,0,0.003888167,0.12952872,1.033476897,1.033476897,0
2023-06-02 03:00:00-04:00,0.096511441,0.00191125,0.0039635,0,0.001134667,0.047683251,0,0.0659651,0,0,0.640436681,0.002016333,0.011639483,0.011824299,0.001129183,0,0,0.0031,0,0.003855917,0.13106472,1.07029629,1.07029629,0
2023-06-02 04:00:00-04:00,0.088087443,0.001910083,0.003943833,0.167069848,0.001125917,0.047581584,0,0.06569375,0,0,0.641743943,0.002015633,0.011733766,0.011980249,0.001081,0,0,0.0031035,0,0.003766833,0.131193469,1.307054635,1.307054635,0
2023-06-02 05:00:00-04:00,0.075436493,0.001919083,0.003939,0,0.001111583,0.047362916,0,0.06553075,0,0,0.639892055,0.0020103,0.011642683,0.011907349,0.001097467,0.021480079,0.021312307,0.003090667,0,0.004091333,0.13174407,0.989245354,0.989245354,0
