Timestamp,Plug_Basement,Cooling,Exhaust fan,EHW,Sumppump,Emergency light load,EL,Fire alarm,Heat pump electric,Heating,IT,Lighting,Plug1,Plug2,Plug3,PV_meter1_load (kW),PV_meter2_load (kW),Battery cabinet,SHW,Solar rapid shutdown,Control,NET,IN,OUT
2022-06-01 17:00:00-04:00,0.192555451,0.002011617,0.003925433,0,0.00113475,0.03001915,0.108021262,0.06445,0,0.031986917,0.705627558,0.065580379,0.014595266,0.015374332,0.002569033,0.620022988,0.611335534,0.00309945,0.000117833,0.004039683,0.198882148,0.210540459,0.274002648,-0.063462189
2022-06-01 18:00:00-04:00,0.07833669,0.002002217,0.003954883,0,0.001123867,0.03020935,0.108447428,0.064654533,0,0.032063599,0.673374418,0.003166133,0.014259116,0.015290165,0.0025787,0.289574747,0.292893489,0.003095383,0.000665817,0.004110717,0.199295983,0.67793021,0.714025709,-0.036095499
2022-06-01 19:00:00-04:00,0.076218473,0.001969133,0.00391235,0,0.001110817,0.029795084,0.107751279,0.06378265,0,0.031943249,0.658381357,0.00209665,0.014153316,0.015379299,0.002563,0.003759145,0.000524288,0.00309685,0.000369183,0.004074617,0.199938479,1.215155632,1.215155632,0
2022-06-01 20:00:00-04:00,0.079510142,0.001960817,0.00383545,0,0.001084017,0.030325567,0.106282363,0.063455984,0,0.031790566,0.641833783,0.025106015,0.014462582,0.015349415,0.002511617,-0.046855618,-0.04780458,0.003115983,0,0.004221733,0.198559182,1.329584829,1.329584829,0
2022-06-01 21:00:00-04:00,0.079214275,0.00196865,0.003867183,0,0.001087917,0.029430183,0.106801394,0.063525051,0,0.031870766,0.64268208,0.00206335,0.014625566,0.015410399,0.0025251,-0.047773122,-0.048061481,0.003113933,0,0.0040613,0.198078347,1.309614539,1.309614539,0
2022-06-01 22:00:00-04:00,0.072997658,0.002001583,0.0039163,0,0.001109133,0.029866333,0.107738029,0.063580407,0,0.031953432,0.642832076,0.003749183,0.014450382,0.015539149,0.002554333,-0.04842324,-0.047526707,0.003107217,0,0.003963817,0.201030562,1.305806172,1.305806172,0
2022-06-01 23:00:00-04:00,0.032520314,0.001987483,0.0039341,0,0.001126183,0.029977884,0.107923613,0.064442016,0,0.031993316,0.641590634,0.002090583,0.013949116,0.015114365,0.002553133,-0.048795484,-0.048774513,0.003114367,0.000228667,0.0040438,0.200744129,1.266038694,1.266038694,0
2022-06-02 00:00:00-04:00,0.076300408,0.0019903,0.0039472,0,0.001138217,0.0302401,0.108495328,0.064799567,0,0.032087066,0.642027677,0.002107817,0.013539032,0.015033065,0.002578833,-0.049241129,-0.04942463,0.003112517,0.000550783,0.004108583,0.202884112,1.308355582,1.308355582,0
2022-06-02 01:00:00-04:00,0.076469607,0.001984017,0.003978117,0,0.001139467,0.030460567,0.108982162,0.06457585,0,0.032097182,0.641570115,0.002122033,0.014631365,0.015389032,0.0025957,-0.04834623,-0.050893754,0.0031159,0.00093505,0.003947583,0.201204565,1.318422017,1.318422017,0
2022-06-02 02:00:00-04:00,0.081945024,0.001998085,0.003986983,0,0.001143847,0.030552119,0.109356312,0.064898644,0,0.032155999,0.639458662,0.003639627,0.013952168,0.014984728,0.002603254,-0.049681531,-0.050813993,0.003120883,0.001028458,0.00408078,0.202529302,1.324034901,1.324034901,0
2022-06-02 03:00:00-04:00,0.070755791,0.002000233,0.003985967,0.331211853,0.001145167,0.030593033,0.109336712,0.064921933,0,0.032201782,0.644129035,0.002134867,0.014160499,0.016117282,0.002602117,-0.050237276,-0.051752469,0.003136167,0.00092235,0.003949467,0.199116449,1.641644849,1.641644849,0
2022-06-02 04:00:00-04:00,0.083724773,0.002001883,0.003976717,0,0.00114395,0.030464967,0.109017695,0.064283067,0,0.031987066,0.641673353,0.003770133,0.014408316,0.015193999,0.002590533,-0.048847913,-0.050766807,0.00311715,0.001029317,0.004012717,0.199047911,1.320520296,1.320520296,0
