Timestamp,Z11_E_opening (%),Z11_S_opening (%),Z12_S_opening (%),Z13_S_opening (%),Z13_W_opening (%),Z15_N_opening (%),Z15_W_opening (%),Z16_N_opening (%),Z17_N_opening (%),Z1_Solar_damper_opening (%),Z1_S_opening (%),Z21_E_opening (%),Z21_Sky_opening (%),Z21_S_opening (%),Z22_S_opening (%),Z23_Sky_opening (%),Z23_S_opening (%),Z23_W_opening (%),Z24_opening (%),Z24_Sky_opening (%),Z25_N_opening (%),Z25_Sky_opening (%),Z25_W_opening (%),Z26_N_opening (%),Z27_N_opening (%),Z27_Sky_opening (%),Z31_Sky_opening (%),Z31_S_opening (%),Z32_W_opening (%),Z33_N_opening (%),Z33_Sky_opening (%),Z3_N_opening (%),Z4_N_opening (%),Z5_N_opening (%)
2022-06-01 12:00:00-04:00,0.0,0.0,0.9333333333333332,0.9333333333333332,0.95,6.183333333333334,6.483333333333333,6.183333333333334,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,18.366666666666667,18.366666666666667,0.0,0.0,0.0
2022-06-01 13:00:00-04:00,0.0,0.0,3.933333333333333,3.933333333333333,3.9166666666666665,12.35,13.35,12.35,0.0,0.0,16.316666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.533333333333333,1.7166666666666666,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,65.26666666666667,31.916666666666668,18.48333333333333,0.0,0.7666666666666667,0.0
2022-06-01 14:00:00-04:00,0.0,0.0,7.083333333333333,7.083333333333333,7.1,19.8,20.8,19.8,0.0,0.0,15.183333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35,0.9166666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,31.73333333333333,33.0,3.0166666666666666,0.0,1.35,0.0
2022-06-01 15:00:00-04:00,0.0,0.0,6.616666666666666,6.616666666666666,6.616666666666666,22.016666666666666,23.016666666666666,22.016666666666666,0.0,0.0,12.366666666666667,1.4166666666666667,0.0,1.4166666666666667,0.0,0.0,0.0,0.0,15.35,0.0,0.0,0.0,0.0,2.9,2.9,0.0,0.0,0.0,30.0,30.0,0.0,0.0,1.2,8.3
2022-06-01 16:00:00-04:00,0.0,0.0,1.4166666666666667,1.4166666666666667,1.4,6.416666666666667,7.416666666666667,6.416666666666667,0.0,0.0,11.683333333333334,4.416666666666667,0.6,4.416666666666667,0.0,0.0,0.0,0.0,22.866666666666667,3.083333333333333,0.0,0.0,0.0,8.316666666666666,8.316666666666666,1.5333333333333334,0.0,0.0,34.65,36.2,6.183333333333334,0.0,1.4333333333333331,0.0166666666666666
2022-06-01 17:00:00-04:00,0.0,0.0,2.9,2.9,2.9166666666666665,0.8333333333333334,1.8333333333333333,0.8333333333333334,0.0,0.0,11.933333333333334,1.8333333333333333,0.0666666666666666,2.3666666666666667,0.0,0.0,0.0,0.0,30.716666666666665,10.716666666666669,0.0,0.0,0.0,3.816666666666667,3.816666666666667,0.6333333333333333,0.0,0.0,51.56666666666667,39.46666666666667,18.466666666666665,0.0,3.45,0.0
2022-06-01 18:00:00-04:00,0.0,0.0,1.4333333333333331,1.4333333333333331,1.4333333333333331,1.0333333333333334,2.033333333333333,1.0333333333333334,0.0,0.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.916666666666664,13.616666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.96666666666667,17.616666666666667,17.583333333333332,0.0,2.65,0.0
2022-06-01 19:00:00-04:00,0.0,0.0,1.7,1.7,1.7,1.3,2.3,1.3,0.0,0.0,5.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.93333333333333,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6,37.766666666666666,37.766666666666666,0.0,0.4666666666666667,0.0
2022-06-01 20:00:00-04:00,0.0,0.0,0.8,0.8,0.7166666666666667,1.0666666666666669,2.066666666666667,1.0666666666666669,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.133333333333333,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.26666666666668,51.46666666666667,51.46666666666667,0.0,0.5333333333333333,0.0
2022-06-01 21:00:00-04:00,0.0,0.0,2.2333333333333334,2.2333333333333334,2.4,0.6833333333333333,1.6833333333333331,0.6833333333333333,0.0,0.0,4.916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,58.333333333333336,58.333333333333336,0.0,0.0,0.0
