Timestamp,BTU10(Z21+22+23+24+25+26+27)_ReturnT (C),BTU10(Z21+22+23+24+25+26+27)_SupplyT (C),BTU11(Z32+33)_ReturnT (C),BTU11(Z32+33)_SupplyT (C),BTU13(Z31)_ReturnT (C),BTU13(Z31)_SupplyT (C),BTU5(Z2+3+4+5)_ReturnT (C),BTU5(Z2+3+4+5)_SupplyT (C),BTU6(Z1)_ReturnT (C),BTU6(Z1)_SupplyT (C),BTU7(Z14+15+16+17)_ReturnT (C),BTU7(Z14+15+16+17)_SupplyT (C),BTU8(Z11+12+13)_ReturnT (C),BTU8(Z11+12+13)_SupplyT (C),BTU10(Z21+22+23+24+25+26+27)_energy (kBTU/h),BTU10(Z21+22+23+24+25+26+27)_flow (GPM),BTU11(Z32+33)_energy (kBTU/h),BTU11(Z32+33)_flow (GPM),BTU13(Z31)_energy (kBTU/h),BTU13(Z31)_flow (GPM),BTU5(Z2+3+4+5)_energy (kBTU/h),BTU5(Z2+3+4+5)_flow (GPM),BTU6(Z1)_energy (kBTU/h),BTU6(Z1)_flow (GPM),BTU7(Z14+15+16+17)_energy (kBTU/h),BTU7(Z14+15+16+17)_flow (GPM),BTU8(Z11+12+13)_energy (kBTU/h),BTU8(Z11+12+13)_flow (GPM)
2023-06-01 11:00:00-04:00,19.33463316,18.52703285,19.94219752,18.45320599,20.34247886,19.01733896,19.43342364,18.22846006,19.56007025,18.49281526,19.41905763,18.7498176,19.47679336,18.45275074,0.082922995,0.054716567,0.036348697,0.023051359,0.009498216,0.004804679,0.035223099,0.020342439,0.038368996,0.028604605,0.040453569,0.029680494,0.031913914,0.02529162
2023-06-01 12:00:00-04:00,20.01770246,20.03042179,21.05932017,20.12626323,21.88379478,21.61304008,19.77614417,19.46159695,20.62307089,19.76040678,20.27270833,20.57597754,20.66263149,19.8647273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01 13:00:00-04:00,20.53651548,20.79378757,21.60557055,21.00061713,22.94258874,23.0435719,19.95367439,20.06488447,21.18744356,20.40381947,20.6892857,21.32756834,21.25983358,20.55184944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01 14:00:00-04:00,20.93176778,21.26522622,21.93108898,21.51113553,23.67696571,23.90255285,20.07546305,20.40042248,21.53604705,20.80687473,20.94962622,21.68946012,21.58688181,20.9700347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01 15:00:00-04:00,21.25336817,21.60727911,22.18102664,21.8586423,24.25928822,24.52375967,20.18026345,20.61127027,21.78666701,21.10369488,21.1579699,21.90233962,21.79153714,21.2515783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01 16:00:00-04:00,21.53139093,21.8818702,22.39261867,22.12488464,24.79127206,25.06199936,20.2660035,20.7410012,21.97532082,21.33283594,21.34368805,22.06159641,21.94245324,21.46449174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01 17:00:00-04:00,21.77842522,22.12723746,22.5870557,22.3505047,25.27317648,25.55758829,20.33658084,20.82343116,22.12235811,21.51134442,21.50576224,22.19251124,22.07267394,21.63998286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01 18:00:00-04:00,21.99378791,22.3331616,22.75808235,22.54596103,25.66941459,25.95317798,20.39247428,20.87626436,22.23000724,21.65066585,21.64851457,22.30344264,22.19177048,21.79270737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01 19:00:00-04:00,22.17401688,22.49334611,22.89486405,22.70480156,25.95482205,26.21961353,20.43114542,20.90824904,22.30625414,21.75272426,21.76105994,22.39517487,22.30059419,21.92303771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01 20:00:00-04:00,22.30810434,22.60650868,22.99745185,22.82587214,26.12064962,26.35789596,20.46120721,20.93360209,22.35400935,21.825679,21.84700818,22.46192042,22.38855101,22.02876501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01 21:00:00-04:00,22.41837819,22.69332243,23.07339138,22.91771013,26.1987523,26.4129792,20.48445914,20.95545281,22.38588404,21.87750414,21.91120409,22.5121159,22.45983364,22.11350441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01 22:00:00-04:00,22.50535704,22.75383596,23.12492307,22.98345269,26.18407433,26.3735466,20.50675774,20.97372161,22.40801133,21.91678732,21.9639598,22.55128317,22.51578783,22.18520362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01 23:00:00-04:00,22.56380717,22.78700348,23.15087566,23.01665518,25.89793297,26.00221909,20.53261298,21.05854204,22.43626107,21.95699996,22.02919028,22.6076817,22.56374931,22.24782442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 00:00:00-04:00,22.59346884,22.77604322,23.15510983,23.00381505,25.47888558,25.47948399,20.58114038,21.23974666,22.47734925,22.0114686,22.08667925,22.67774631,22.62110844,22.31815486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 01:00:00-04:00,22.58188106,22.71020656,23.11163464,22.93431494,25.10740577,25.06495243,20.62354222,21.36764957,22.50047783,22.04955263,22.10287998,22.71183318,22.68354352,22.3751391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 02:00:00-04:00,22.56616402,22.64804685,23.04777965,22.8658739,24.79630477,24.75266633,20.65876961,21.46337163,22.4948811,22.06118089,22.08173709,22.70848606,22.73632,22.41776594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
