Timestamp,Z11_RH (%),Z12+13_RH (%),Z15+16_RH (%),Z17_RH (%),Z1_RH (%),Z21_RH (%),Z22+23_RH (%),Z24_RH (%),Z25+26+27_RH (%),Z31_RH (%),Z32_RH (%),Z33_RH (%),Z3_RH (%),Z4_RH (%),Z5_RH (%)
2023-06-01 00:00:00-04:00,42.96666666666666,39.75766658782958,34.861666488647465,35.25666675567625,41.54000027974448,43.61999988555909,41.43599948883057,38.72533289591472,43.43199914296471,34.28533369700113,33.12166684468585,36.71833349863687,36.93333346048992,36.95100008646647,40.07633304595948
2023-06-01 01:00:00-04:00,44.11199989318849,40.08500111897786,35.44166622161866,35.33366661071779,41.76066703796386,43.79933427174887,42.823333930969234,39.97633330027263,43.98200054168699,34.0970001220703,32.68800023396808,36.67400016784667,37.1580001195272,37.12066675821942,40.87866681416832
2023-06-01 02:00:00-04:00,43.7479995727539,39.45700016021731,35.75433336893719,35.562332852681486,41.67666695912678,42.75399996439616,41.16966698964436,38.13233254750569,42.23199939727783,34.50766626993816,33.974333445231125,37.4839995066325,35.858666992187494,37.09199968973793,41.27266731262208
2023-06-01 03:00:00-04:00,43.27866649627684,39.04566644032795,35.99366703033448,35.52099984486899,41.206666564941415,43.83200047810872,41.96766668955485,37.42533346811931,43.04800020853678,34.77966626485189,33.649332745869984,37.12099990844726,35.76133289337159,37.03366680145265,40.71966679890952
2023-06-01 04:00:00-04:00,42.91599947611489,38.78533318837483,36.20000006357827,35.54066632588705,40.1900006612142,43.33133246103922,42.11733334859212,37.21233355204264,42.99333419799808,34.90366668701172,33.63200028737386,37.04333330790201,35.78666687011719,37.063667488098126,40.46399987538653
2023-06-01 05:00:00-04:00,41.816000239054354,38.340665817260735,36.32099971771238,35.44033393859862,39.94266738891602,42.8366666793823,41.63133322397867,36.336666806538894,42.198000717163104,34.985666656494146,33.60800037384033,36.91866683959961,35.60866610209148,37.07200037638347,40.171332867940265
2023-06-01 06:00:00-04:00,40.33800067901611,38.01366640726724,36.35633385976156,35.39099998474123,38.47299969991048,42.61933371225993,41.44899991353352,36.58900038401284,42.063999811808266,35.18500022888182,35.49799995422362,36.89233373006184,35.56366748809815,36.97633279164631,40.132333819071455
2023-06-01 07:00:00-04:00,39.34000021616618,37.65500094095865,36.36666742960611,35.50766690572103,38.06466674804689,41.27066701253255,40.6356673558553,36.739666430155445,41.07366701761883,36.254667091369626,37.60466569264728,36.80133368174235,35.606999905904125,36.99533329010009,40.146332931518565
2023-06-01 08:00:00-04:00,37.3303332646688,37.120667012532536,36.35966663360593,35.44133319854737,37.628666623433446,40.77266674041751,39.52733357747397,35.41033363342285,39.73766733805339,35.98533344268799,36.87333304087322,36.46933364868163,35.60399913787843,36.87566699981689,40.06600151062011
2023-06-01 09:00:00-04:00,36.671332995096826,36.78166624704996,36.270333226521785,35.64300047556557,37.174333635966,39.45366586049398,38.46199989318847,34.414000193278,38.58533363342284,35.799999872843415,36.461999829610185,36.34366728464764,35.70300019582114,36.87266629536948,39.99433326721191
2023-06-01 10:00:00-04:00,36.10466664632163,36.513666025797534,36.11666685740155,36.31233297983805,36.907332547505696,38.80166664123536,37.47300052642822,33.923000272115075,37.76199963887533,36.8993335723877,37.77299931844077,37.31033376057943,35.63066584269206,36.78566563924151,39.87866770426432
2023-06-01 11:00:00-04:00,35.88066673278808,36.26933314005535,35.91899948120117,36.06666666666665,36.62433312733968,38.51199919382732,36.23466650644936,33.715333239237474,36.838332621256505,35.721999804178864,35.691333262125674,38.51833330790202,35.81666685740153,36.82000096638998,39.7023328781128
2023-06-01 12:00:00-04:00,35.830666732788096,36.14966583251953,35.9036672592163,36.271999867757145,36.33566621144613,37.83133385976155,34.899665641784665,33.34866733551025,36.07766736348469,36.39233373006184,35.771333122253395,38.034666665395086,36.02166678110759,36.7393337249756,39.52366689046222
2023-06-01 13:00:00-04:00,35.51300036112468,35.81366691589354,35.90733318328858,36.19633407592774,36.08466612497968,36.57566636403405,34.00033365885415,32.99866669972737,35.84100023905436,37.36866677602133,36.12700042724609,34.11066659291585,35.92333374023438,36.66466719309489,39.57299982706706
2023-06-01 14:00:00-04:00,35.33400001525875,35.63733336130778,36.02833264668784,36.45999965667724,35.913333320617674,36.61566613515218,33.53566691080728,33.02900002797445,35.98633314768474,38.12299944559732,36.58000011444089,34.60799980163575,35.93099962870279,36.559999656677256,39.6736665725708
2023-06-01 15:00:00-04:00,35.27733332316081,35.45033353169759,37.14866695404051,36.64266668955484,35.71466655731203,36.71599979400633,33.59166685740156,32.85599937438964,35.834333356221514,39.25299956003825,36.01966667175294,36.58800061543781,36.160332425435406,36.38399982452392,39.61399981180825
2023-06-01 16:00:00-04:00,35.510667419433595,35.340666834513335,37.56466541290283,36.798666318257645,35.60800062815349,36.89366620381672,33.38266716003418,32.56500027974445,35.868333371480304,39.62333361307781,37.28066635131835,32.79399976730346,36.028665796915696,36.47166646321614,39.68766651153565
2023-06-01 17:00:00-04:00,35.638666661580416,35.19500013987224,36.823333104451486,36.46566670735677,35.56266619364421,36.93833319346109,33.4360003789266,32.38233267466226,36.20700022379559,40.05199991861979,36.91466700236003,33.73700014750162,36.003666750590014,36.26499913533527,39.84066683451336
2023-06-01 18:00:00-04:00,35.7503339131673,35.070334243774404,37.24233315785724,36.46533362070719,35.59533354441325,36.9509994506836,33.62699921925864,32.35900004704793,36.4656670252482,40.409333419799815,36.922999954223634,33.52833344141643,36.10033308664958,36.3683338801066,39.96933320363362
