Timestamp,BTU2(Gwell_L)_ReturnT (F),BTU2(Gwell_L)_SupplyT (F),BTU3(Gwell_R)_ReturnT (F),BTU3(Gwell_R)_SupplyT (F),BTU4(Gwell_Com)_ReturnT (F),BTU4(Gwell_Com)_SupplyT (F),BTU2(Gwell_L)_energy (BTUs),BTU2(Gwell_L)_flow (GPM),BTU3(Gwell_R)_energy (BTUs),BTU3(Gwell_R)_flow (GPM),BTU4(Gwell_Com)_energy (BTUs),BTU4(Gwell_Com)_flow (GPM)
2023-06-01 00:00:00-04:00,72.58110020955404,65.445774269104,72.55595728556315,65.66838366190592,74.1503682454427,69.9312120634934,0.021125023705618716,2.203907201687495,0.0138752579689026,2.311148202419281,0.009318251641733312,4.4558362662792215
2023-06-01 01:00:00-04:00,69.1126252492269,61.939152526855466,69.20054931640625,62.40654392242432,69.11291898091635,62.169350941975914,0.021125023705618716,5.259303569793701,0.0138752579689026,5.539412864049276,0.009318251641733312,10.590310525894164
2023-06-01 02:00:00-04:00,68.58201395670572,63.04691422780355,68.66020024617514,63.37788537343343,68.55770886739096,63.227161471048994,0.021125023705618716,5.258770155906677,0.0138752579689026,5.536645126342774,0.009318251641733312,10.59828726450602
2023-06-01 03:00:00-04:00,68.10071500142415,63.24901377360027,68.17201220194498,63.54048468271892,68.05427881876628,63.415703455607094,0.021125023705618716,5.2610224962234495,0.0138752579689026,5.542986782391866,0.009318251641733312,10.605864540735881
2023-06-01 04:00:00-04:00,67.68195304870605,63.250703239440924,67.74796880086264,63.53221638997397,67.6200392405192,63.41526165008545,0.021125023705618716,5.260646812121073,0.0138752579689026,5.540666977564494,0.009318251641733312,10.601622645060221
2023-06-01 05:00:00-04:00,67.32689043680827,63.187098884582525,67.3870635986328,63.46495405832926,67.25113970438639,63.352919197082514,0.021125023705618716,5.262188251813253,0.0138752579689026,5.539666295051575,20.634107522797162,10.604956817626952
2023-06-01 06:00:00-04:00,67.02478777567546,63.100259780883796,67.08154106140137,63.38339004516602,66.93602727254232,63.26308485666911,0.021125023705618716,5.262588683764139,10.121620987400869,5.540635601679484,19.465482139587404,10.607699124018357
2023-06-01 07:00:00-04:00,66.77639160156251,63.011573791503906,66.8299498240153,63.30071976979573,66.68654251098634,63.18305231730143,0.021125023705618716,5.263627505302429,9.76967158317566,5.53575463294983,18.555881977081302,10.608022944132482
2023-06-01 08:00:00-04:00,66.57962849934897,62.93257261912028,66.63843002319337,63.22986666361491,66.49003295898437,63.110400708516444,9.572421954228329,5.261570064226786,9.433230336507162,5.537564659118653,17.90216080347698,10.60370202064514
2023-06-01 09:00:00-04:00,66.43413632710775,62.87681617736816,66.48604596455893,63.17064100901285,66.33903973897299,63.0525494893392,9.3517502784729,5.262196413675944,9.179184023539225,5.536532974243164,17.413377157847084,10.59272499084472
2023-06-01 10:00:00-04:00,66.32041867574057,62.831836318969735,66.37304662068685,63.128444290161134,66.224355951945,63.010680707295734,9.176742728551229,5.259913047154744,8.975734694798787,5.540240947405497,17.030798244476323,10.602359692255652
2023-06-01 11:00:00-04:00,65.63755098978679,66.00241190592448,65.6834103902181,66.12762641906738,66.43730913798014,67.35156421661377,0.15123041163509093,0.08748173713684083,0.15084735701481503,0.09245137373606367,0.28610308766365106,0.17677246729532833
2023-06-01 12:00:00-04:00,64.73761062622071,68.29870872497558,65.03894208272298,68.62049725850423,66.04516512552897,68.97729924519857,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 13:00:00-04:00,64.96956214904785,69.08095677693684,65.42244987487794,69.41566263834635,66.71537297566732,70.26618436177571,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 14:00:00-04:00,66.08933830261232,69.80588887532552,66.38939425150554,70.10465914408366,68.13247947692872,71.82040023803711,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 15:00:00-04:00,67.9166114171346,69.97602481842041,67.928125,70.21143900553385,69.87378514607748,73.26371790568034,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 16:00:00-04:00,69.46474761962891,69.89860445658367,69.36625811258952,70.04299303690593,71.48780721028646,74.38184547424316,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 17:00:00-04:00,70.52134246826172,69.8530211130778,70.41058642069498,69.92419293721517,72.75171203613282,75.15324630737305,0.0,0.0,0.0,0.0,9.911400265991667e-05,0.0
2023-06-01 18:00:00-04:00,71.22703908284505,69.84876085917156,71.13329683939618,69.85809542338052,73.68215586344401,75.71427090962727,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 19:00:00-04:00,71.73677965799968,69.86705423990885,71.65264053344727,69.83158175150554,74.36719462076823,76.13479487101237,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 20:00:00-04:00,72.11619415283205,69.90495516459147,72.04184850056966,69.84066670735677,74.86692555745442,76.43830273946126,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 21:00:00-04:00,72.4004140218099,69.94790242513021,72.33111330668132,69.86849784851074,75.22576713562012,76.65388069152831,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 22:00:00-04:00,72.60567639668784,69.98452250162762,72.536492284139,69.89170265197755,75.4779832204183,76.79796180725097,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 23:00:00-04:00,72.77519772847494,70.02999852498372,72.70920702616374,69.93771044413249,75.67942746480306,76.91217346191407,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 00:00:00-04:00,72.91411577860514,70.07590217590332,72.84464632670084,69.9774595896403,75.83623046875,76.9988296508789,0.0,0.0,0.0,0.0,0.0,0.0
