Timestamp,Z11_CO2 (ppm),Z12+13_CO2 (ppm),Z15+16_CO2 (ppm),Z17_CO2 (ppm),Z1_CO2 (ppm),Z21_CO2 (ppm),Z22+23_CO2 (ppm),Z24_CO2 (ppm),Z25+26+27_CO2 (ppm),Z31_CO2 (ppm),Z32_CO2 (ppm),Z33_CO2 (ppm),Z3_CO2 (ppm),Z4_CO2 (ppm),Z5_CO2 (ppm)
2023-06-01 00:00:00-04:00,429.5413340250651,427.3920028686522,441.5680033365885,506.86399485270186,428.4106658935549,438.5013336181642,429.16799977620445,567.8986729939778,427.6213348388672,390.079986572266,456.9173319498698,439.0293324788413,621.1413279215495,528.1653249104819,463.01866658528655
2023-06-01 01:00:00-04:00,434.10133260091146,432.1333343505861,443.2426656087239,481.2106643676758,428.1226674397788,439.29600016276055,427.7706705729168,571.8506673177084,427.0133366902671,390.079986572266,445.5306645711264,435.6266662597656,620.7093383789064,562.8373372395835,441.0773330688478
2023-06-01 02:00:00-04:00,437.3386637369792,432.68799896240233,448.042665608724,466.6559987386067,433.5893351236981,438.46399943033856,429.7973307291668,580.5813334147136,429.9413350423177,390.079986572266,437.9733317057292,431.5573338826498,587.2640045166016,528.8000030517579,450.293333943685
2023-06-01 03:00:00-04:00,434.698666381836,437.42399953206393,446.8906697591146,452.2346644083661,437.669332377116,440.5760025024414,428.9226720174154,521.4346679687501,426.3039993286133,390.079986572266,432.29333343505874,432.3253356933595,542.261336263021,497.32799682617207,466.59732869466166
2023-06-01 04:00:00-04:00,440.0426696777346,443.1733342488606,445.6213348388672,446.442667134603,439.6693333943685,437.79733174641945,426.46399943033856,498.2773376464845,427.4293324788413,390.079986572266,430.4746693929037,433.7333333333334,521.6266738891603,485.1413360595705,468.8746673583985
2023-06-01 05:00:00-04:00,443.46133321126297,450.8426676432292,461.242665100098,443.6426640828451,449.2320012410482,445.13599751790366,432.0213343302409,473.4773345947266,428.5546686808268,390.079986572266,430.70933685302754,433.914665222168,502.4213322957359,474.9760014851888,476.15999603271496
2023-06-01 06:00:00-04:00,447.26933135986326,457.3333338419597,457.7333348592123,442.14399566650417,455.6746648152669,441.466668701172,434.0533330281576,488.5013315836589,434.1706639607748,390.079986572266,431.48799896240257,437.4346684773764,486.90133005778,472.5653330485027,474.4000020345052
2023-06-01 07:00:00-04:00,452.1120005289713,458.7573333740235,457.8880004882813,444.4586624145508,456.52799886067714,446.9866673787436,434.2346664428711,505.8239990234375,434.5706685384114,390.079986572266,438.4160013834637,438.57599995931,490.1866658528644,476.794664001465,472.62400258382166
2023-06-01 08:00:00-04:00,451.7013280232749,456.026670328776,460.5439992268881,448.3413309733074,453.0506668090821,446.3146657307944,441.1093332926435,490.1493392944336,439.1306701660156,390.079986572266,439.4773320515951,444.3359980265301,496.3946675618491,481.3066655476889,466.2346669514976
2023-06-01 09:00:00-04:00,453.3760019938152,454.24533182779953,456.1546656290691,458.90133463541673,463.53600056966167,452.0640004475912,450.98132883707694,465.58933614095054,449.2533330281576,390.079986572266,458.1493291219076,495.621334330241,486.9280019124348,476.8000000000002,463.7226648966471
2023-06-01 10:00:00-04:00,459.5626698811848,479.9306650797527,491.71199696858736,550.1440007527672,495.5519978841147,475.8453348795575,476.46400197347015,474.0693369547527,471.6480021158854,402.8426569620771,499.7973281860352,519.7706665039063,488.6773345947267,480.661334737142,504.9919957478842
2023-06-01 11:00:00-04:00,479.62666676839206,512.1546595255535,542.4373341878256,619.157332356771,552.1546702067059,541.9199966430665,516.9333368937176,513.7440063476563,498.1600016276042,421.79733072916673,544.0373301188152,1088.9920043945324,525.3279998779298,505.9253275553386,556.0639953613281
2023-06-01 12:00:00-04:00,497.1010152525821,555.5688124834483,612.0840661000399,691.102366301973,620.4745762711866,613.7599963172007,533.5864423331568,555.7694919392214,548.5721942449021,400.9979599774896,542.6386465298928,1491.9983760510463,565.2067809024101,556.837967177569,620.8488045385329
2023-06-01 13:00:00-04:00,507.0773345947266,585.8133422851563,662.1813273111981,726.1866617838542,693.5146647135418,514.8426651000977,509.2319997151693,565.1200022379559,600.9813283284507,446.6026687622071,646.4373311360677,826.9759989420575,629.5519927978517,612.1119974772137,689.7493326822917
2023-06-01 14:00:00-04:00,526.4320053100588,616.197337849935,760.3733388264975,764.8213389078777,727.3279998779298,528.1066701253255,525.5466705322267,606.602665201823,657.1679941813152,419.8933319091797,637.37599995931,795.1999989827475,668.3520029703776,671.8773356119793,721.8666727701823
2023-06-01 15:00:00-04:00,550.5653391520184,642.61332804362,964.245333862305,923.0079996744792,791.0933420817058,561.4186716715496,556.538674926758,645.7973317464194,735.5093373616539,419.9253326416017,626.2720031738281,1252.5333292643238,734.7626678466797,718.8160115559897,782.8373423258465
2023-06-01 16:00:00-04:00,582.2666625976565,687.4879923502606,991.2426625569664,935.9573333740242,864.394662475586,597.4986643473309,599.2586690266927,677.9093261718751,822.5600036621095,444.2293324788413,690.6986623128255,1196.869332885743,828.6079966227214,827.7119984944661,862.7626597086588
2023-06-01 17:00:00-04:00,637.3813293457034,735.7973347981771,962.9226664225264,992.9066670735682,908.2560058593753,601.5893330891927,640.6080078125001,690.8800008138023,839.6586669921875,455.9466674804689,733.5573303222657,925.8026652018232,871.3813364664713,874.794662475586,909.3119954427084
2023-06-01 18:00:00-04:00,625.3919942220052,740.0426666259767,885.2053385416668,906.7946706136069,912.8640045166018,615.1253306070964,644.9653361002605,672.6826680501304,769.856005859375,447.8719980875652,636.1813364664715,756.224003092448,896.5013437906903,910.2293314615886,890.8906697591148
