Timestamp,Z11_temp,Z12+13_temp,Z14_temp,Z15+16_temp,Z17_temp,Z1_temp,Z21_temp,Z22+23_temp,Z24_temp,Z25+26+27_temp,Z2_temp,Z31_temp,Z32_temp,Z33_temp,Z3_temp,Z4_temp,Z5_temp
2022-06-01 00:00:00-04:00,21.73233337402344,21.228000164031982,19.69799987475078,21.10500001907349,20.46149994532267,20.808166599273694,22.226833343505863,22.01599985758464,21.98799974123637,22.015333191553747,25.12883361180625,24.85949951807658,23.883333476384465,23.591666841506967,21.128999837239576,21.062500079472876,20.36416656176249
2022-06-01 01:00:00-04:00,21.666666507720947,20.980333328247056,19.491666666666667,20.86999988555908,20.100333277384447,20.57666673660277,22.22600008646647,21.84766654968261,21.983999951680502,22.086333433787036,24.793333307902024,24.79133313496908,23.78366664250692,23.63600002924604,21.085000101725264,20.319333457946776,20.014333279927573
2022-06-01 02:00:00-04:00,22.02666660944621,21.704666900634777,19.864666779836025,21.540666453043592,20.73383324941,21.135166708628333,22.27533337275188,21.67433309555055,21.990000089009605,21.85933322906494,24.73500006993612,24.67399994532266,23.65800015131633,23.555333264668786,21.776333363850917,21.443500073750812,20.60983317693073
2022-06-01 03:00:00-04:00,22.383333142598463,22.360333251953115,20.620333290100117,22.16933336257934,21.426000150044757,22.633333365122475,22.1950000445048,21.45166670481363,21.547666613260905,21.270000044504812,25.069333394368485,24.522000312805176,23.490332825978616,23.0936669031779,22.093000189463293,22.4159999847412,20.84399964014688
2022-06-01 04:00:00-04:00,22.53333333333334,22.599000263214112,20.92133318583171,22.44300003051757,21.736333274841304,23.06300010681152,22.294666862487777,21.73099988301597,21.533666706085217,21.44133326212565,25.288666534423825,24.5340004603068,23.64033317565916,23.442666594187425,22.22766682306926,22.74699986775716,20.987333424886064
2022-06-01 05:00:00-04:00,22.196666590372715,22.53766667048136,20.93000005086264,22.380000082651765,21.815333429972345,22.58366645177207,22.34266678492228,21.8240001042684,21.65966647466024,21.69766651789347,25.333666769663488,24.445666344960536,23.53333339691161,23.40000006357829,21.50233329137165,22.48599983851117,21.088666756947838
2022-06-01 06:00:00-04:00,21.82833347320558,22.211666711171468,20.55833333333334,22.16199989318847,21.698000558217405,21.750333309173577,22.451666673024484,21.980332914988207,21.87699972788493,21.977999846140538,25.027333227793385,24.330000019073488,23.373999945322687,23.309999624888075,20.96166655222576,21.9623330116272,21.021667162577327
2022-06-01 07:00:00-04:00,21.70400012334188,22.116333738962812,20.451999823252343,22.12566712697346,21.67033341725668,21.6063336690267,22.47166633605957,22.001666704813644,21.939333089192704,22.012666829427086,24.784333229064952,24.249333159128817,23.296999931335435,23.27066710789997,20.78499994277954,21.79099992116292,21.02000029881796
2022-06-01 08:00:00-04:00,22.147000376383485,22.43833328882853,20.70666697820027,22.4740001042684,21.89833339055381,22.51900024414063,22.39266675313315,21.814999993642164,21.831333255767813,21.694000180562323,24.803999805450434,24.260333442687983,23.339667002360045,23.373666667938224,21.872666740417472,22.369333299001063,21.129000091552715
2022-06-01 09:00:00-04:00,22.31066697438558,22.65166695912679,20.978000005086265,22.48866691589356,22.05600016911824,23.03433329264321,22.498666667938245,22.039333184560157,21.941333452860512,21.95366681416831,25.05166664123535,24.29833285013831,23.367333030700696,23.3069998105367,22.045333544413257,22.71100028355916,21.225333309173596
2022-06-01 10:00:00-04:00,22.428999710083,22.73166666030882,21.0643338839213,22.43900006612142,22.124000072479262,23.281333319346107,22.71633358001708,22.335999647776287,22.32666660944621,22.422999763488768,25.242999903361007,24.350666427612307,23.39600000381469,23.30066645940143,22.226666514078776,22.913666534423825,21.475333086649574
2022-06-01 11:00:00-04:00,22.56033363342285,23.067333253224685,21.31899998982748,23.186333338419598,22.60066671371461,23.40399964650472,22.94333333969116,22.61800012588501,22.542999966939277,22.697666772206627,25.39066661198933,24.42399991353354,23.50533351898192,23.449333254496253,22.395333385467534,23.0560003598531,21.567000261942532
2022-06-01 12:00:00-04:00,22.63100016911823,23.180000019073493,21.513333638509117,23.35733311971029,22.775666522979748,23.318666680653894,23.03599990208945,22.736000474294038,22.721000035603836,22.91433340708414,25.51666704813638,24.48933308919269,23.58966681162517,23.757000192006437,22.556666787465407,23.11733363469441,21.5726667404175
2022-06-01 13:00:00-04:00,22.68733380635582,23.228333155314136,21.577000204722097,23.34866669972737,22.87933311462404,23.15233345031739,23.11533346176146,22.82399997711181,22.89266678492229,23.129000250498457,25.60166699091593,24.508666865030936,23.60566657384237,23.781666628519694,22.68333346048992,23.1306668281555,21.66100044250487
2022-06-01 14:00:00-04:00,22.700333786010777,23.194666830698644,21.61700029373167,23.359332942962645,22.85366678237915,23.10300003687541,23.15166632334389,22.88599948883058,22.970666503906227,23.16733369827273,25.673666731516512,24.49833329518636,23.63366638819373,23.79633321762086,22.75200004577636,23.116000111897787,21.908333492279063
2022-06-01 15:00:00-04:00,22.685000419616724,23.064666843414305,21.54000008900962,23.086666933695486,22.660333251953112,23.123666826883948,23.171666781107596,22.9389999071757,23.028333504994706,23.236666711171484,25.667666657765707,24.496999931335445,23.662666575113924,23.919333394368472,22.86333338419596,23.12900009155272,21.729833221435545
2022-06-01 16:00:00-04:00,22.710999933878604,23.10800015131632,21.49933331807453,23.023000049591055,22.597000090281167,23.178000005086265,23.18966684341433,22.981333033243807,23.04866657257081,23.263666756947813,25.648333231608056,24.493333180745434,23.68600044250491,23.93566662470499,22.90600001017252,23.154333496093745,21.990666548411053
