Time,"Air temperature (gund, กษ)","Relative humidity (gund, %)","Wind speed (gund, m/s)","Weather data, Wind speed (m/s)","Wind direction (gund, กฦ)","Weather data, Wind direction","Weather data, Rain","Solar radiation (gund, W/m^2)"
2022-06-01 00:00:00-04:00,12.57666667,88.25,0.208333333,0.033333334,98.58333333,129.8570229,0,1
2022-06-01 01:00:00-04:00,12.97583333,89.90833333,0,0.033333334,111.0833333,129.8570229,0,1
2022-06-01 02:00:00-04:00,13.33083333,90.49166667,0,0.033333334,98.33333333,129.8570229,0,1
2022-06-01 03:00:00-04:00,13.64833333,87.25833333,0.25,0.050000001,84.16666667,109.5,0,1
2022-06-01 04:00:00-04:00,13.83666667,80.75833333,0.166666667,0.050000001,85.83333333,119.2501572,0,1
2022-06-01 05:00:00-04:00,13.9575,79.64166667,0.125,0.115384618,110.3333333,100.8133931,0,7.083333333
2022-06-01 06:00:00-04:00,14.38666667,79.35833333,0.041666667,0.246666673,95.83333333,102.2143853,0,40.16666667
2022-06-01 07:00:00-04:00,15.0125,75.26666667,0.083333333,0.290000004,97.58333333,121.6665974,0,60.16666667
2022-06-01 08:00:00-04:00,16.955,68.34166667,0.041666667,0.290909097,107.75,126.8922621,0,149.25
2022-06-01 09:00:00-04:00,17.52416667,65.16666667,0.541666667,0.370000006,114.9166667,134.6537208,1,181.75
2022-06-01 10:00:00-04:00,18.62333333,62.55,0.875,1.016216214,118.5833333,125.7446313,1,296.4166667
2022-06-01 11:00:00-04:00,19.77,61.28333333,0.708333333,1.068000007,115.8333333,145.8043351,1,329.1666667
2022-06-01 12:00:00-04:00,18.17666667,66.68333333,1.333333333,0.900000013,136.4166667,138.4115393,1,239.3333333
2022-06-01 13:00:00-04:00,16.44083333,76.28333333,1.583333333,0.33571429,126.1666667,124.7194556,0,162.6666667
2022-06-01 14:00:00-04:00,13.61166667,91.08333333,1.625,0.606896556,130.6666667,123.416576,0,95.08333333
2022-06-01 15:00:00-04:00,12.71333333,97.64166667,1.333333333,0.431578954,133.4166667,142.5335151,0,90.5
2022-06-01 16:00:00-04:00,12.96833333,97.75,1.208333333,0.190000004,122.75,140.8002853,0,90.33333333
2022-06-01 17:00:00-04:00,13.73166667,96.68333333,1,0.100000001,116.6666667,133.5,0,117
2022-06-01 18:00:00-04:00,14.0075,95.825,0.958333333,0.566666674,126.75,201.8228858,0,57.33333333
2022-06-01 19:00:00-04:00,13.71333333,96.56666667,0.666666667,0.473684217,132.25,238.7017647,0,17
2022-06-01 20:00:00-04:00,13.6,97.05,0.375,0.496000006,125.0833333,254.0766223,0,1
2022-06-01 21:00:00-04:00,13.27916667,97.825,0.125,1.127586221,126.6666667,269.926749,1,1
2022-06-01 22:00:00-04:00,14.43916667,81.58333333,0.833333333,1.127586221,207,269.926749,1,1
2022-06-01 23:00:00-04:00,14.29416667,73.775,0.708333333,1.566666683,200.9166667,267.1000278,1,1
2022-06-02 00:00:00-04:00,14.24083333,72.225,0.625,0.938095242,225.5,258.6725907,1,1
2022-06-02 01:00:00-04:00,13.95,72.94166667,0.541666667,0.677272728,239.1666667,275.5702165,1,1
2022-06-02 02:00:00-04:00,13.84916667,76.65,0.625,0.605263162,227.75,16.87870157,1,1
2022-06-02 03:00:00-04:00,14.03833333,80.74166667,0.875,1.143137254,233.0833333,266.9182767,1,1
2022-06-02 04:00:00-04:00,14.04083333,84.90833333,0.166666667,0.916216222,228.6666667,7.163331814,1,1
2022-06-02 05:00:00-04:00,12.91083333,96.36666667,0.208333333,0.80714286,236.1666667,22.19992962,1,3.583333333
2022-06-02 06:00:00-04:00,13.0975,98.525,0.083333333,0.779999998,126,348.6788879,1,12.58333333
2022-06-02 07:00:00-04:00,13.34,99.08333333,0.25,0.591666671,81.83333333,42.71000433,1,58.5
2022-06-02 08:00:00-04:00,14.68666667,97.20833333,0.125,1.150000009,100.8333333,74.31894252,1,154.5833333
2022-06-02 09:00:00-04:00,18.42833333,82.55833333,0.541666667,1.263333329,181.4166667,93.87754208,1,307.5833333
2022-06-02 10:00:00-04:00,20.30083333,72.19166667,0.416666667,1.285294123,142.25,121.7833172,1,394.6666667
2022-06-02 11:00:00-04:00,20.52083333,69.71666667,0.625,0.988888888,108.5,104.629805,1,313.5
2022-06-02 12:00:00-04:00,18.56333333,75.29166667,1.083333333,0.930000003,73.66666667,119.2102802,1,241.25
2022-06-02 13:00:00-04:00,17.7875,77.45833333,1.291666667,1.051724148,103.1666667,133.8465891,1,195.4166667
